,0
229,72.95353
230,73.81393
231,74.37129
232,74.28372
233,74.428505
234,74.37742
235,75.55217
236,76.050446
237,77.1701
238,76.80653
239,77.198494
240,77.45998
241,77.65986
242,77.06776
243,76.266266
244,75.3747
245,75.58647
246,75.87764
247,76.50439
248,76.70387
249,77.78663
250,79.903564
251,77.5849
252,77.687706
253,77.83917
254,78.203606
255,78.07086
256,78.84962
257,79.37907
258,78.993835
259,78.69338
260,79.56939
261,80.35793
262,80.532295
263,81.85216
264,81.98189
265,81.38006
266,82.6212
267,83.241425
268,84.1584
269,84.633026
270,85.04708
271,85.24849
272,85.90975
273,84.82498
274,84.57922
275,84.41567
276,83.82515
277,84.59226
278,83.589264
279,80.79077
280,80.52208
281,80.60569
282,80.801994
283,80.489975
284,79.88987
285,79.91076
286,80.189575
287,80.1904
288,80.25569
289,80.39951
290,80.17247
291,77.92412
292,76.96572
293,77.25994
294,77.197174
295,77.41547
296,77.4987
297,77.35486
298,75.48768
299,74.58846
300,71.053635
301,71.02279
302,71.52718
303,72.23176
304,72.70989
305,70.34762
306,70.08209
307,69.213524
308,68.896996
309,69.27619
310,69.51033
311,69.569984
312,65.10287
313,64.77895
314,65.60906
315,65.01148
316,64.66578
317,64.35398
318,64.20508
319,61.261604
320,61.616646
321,61.089558
322,57.62095
323,58.199787
324,58.887432
325,59.741554
326,59.322884
327,58.309505
328,58.28654
329,57.66714
330,58.549362
331,59.107723
332,60.160866
333,60.960953
334,61.43341
335,57.802933
336,61.401024
337,60.946075
338,60.281124
339,60.197773
340,59.555237
341,59.968086
342,58.99076
343,58.37846
344,58.054882
345,57.87836
346,57.809803
347,55.51795
348,55.776077
349,53.05058
350,51.999767
351,51.873524
352,51.677036
353,51.787537
354,51.768078
355,52.0113
356,51.76056
357,50.909046
358,51.486256
359,52.08172
360,52.854313
361,53.56768
362,54.382973
363,53.3684
364,55.428226
365,56.156536
366,56.63717
367,57.26314
368,56.930595
369,59.603306
370,60.653492
371,59.32336
372,59.0078
373,58.944233
374,58.9257
375,58.655888
376,59.86181
377,59.96365
378,62.011692
379,62.080463
380,62.254784
381,62.10098
382,60.96036
383,61.172928
384,61.10409
385,61.479076
386,60.782227
387,60.300167
388,59.791725
389,60.74026
390,62.010426
391,62.537395
392,61.812412
393,61.8003
394,62.215153
395,62.342743
396,61.65127
397,62.227947
