Date;vader;vader_average;watson;henry;Loughran-McDonald;average_sentiment;count;WTI
13.04.2018;0.548900836;0.075857032;0.038606048;0.450794979;-0.039817734;0.214868232;37;67.35
14.04.2018;-0.145227023;-0.034978819;-0.53966857;0.378598485;-0.443010753;-0.156857336;8;
15.04.2018;0.172417242;0.041109026;-0.006768745;0.505020593;-0.195144135;0.103326796;10;
16.04.2018;0.073199913;0.016446404;-0.200309021;0.290458934;-0.304533866;-0.024947527;54;66.23
17.04.2018;0.204089457;0.000727958;-0.1409878;0.247268025;-0.299636532;0.002292222;42;66.5
18.04.2018;0.350444722;0.048953259;0.033964388;0.377884976;-0.201418801;0.121965709;62;68.44
19.04.2018;0.334189301;0.039731246;-0.114020237;0.405829651;-0.251813182;0.082783356;68;68.3
20.04.2018;0.136598544;0.055396025;-0.302576409;0.278263199;-0.276943201;-0.021852369;86;68.26
21.04.2018;0.997333067;0.122403993;-0.110882687;0.180086812;-0.196725146;0.198443207;3;
22.04.2018;0.071554214;0.005861018;-0.26573003;0.363192852;-0.287089187;-0.022442227;17;
23.04.2018;0.306637706;0.057728453;-0.131077308;0.421472892;-0.215429708;0.087866407;71;67.61
24.04.2018;0.414280644;0.075758279;-0.059417276;0.462411365;-0.150818521;0.148442898;51;67.66
25.04.2018;0.202401372;0.007084826;-0.309600193;0.310829143;-0.336115942;-0.025080159;53;68
26.04.2018;0.532363842;0.082109515;0.126008367;0.444900171;-0.118654618;0.213345455;66;68.18
27.04.2018;0.519983706;0.087938813;-0.073732414;0.333431225;-0.080843708;0.157355524;41;68.11
28.04.2018;0.769443611;0.112100753;0.223353322;0.219907407;-0.251792115;0.214602596;3;
29.04.2018;0.546087942;0.105748128;-0.017928415;0.523803607;-0.267626138;0.178017025;18;
30.04.2018;0.566617679;0.103603245;-0.119968774;0.44506191;-0.225616164;0.153939579;59;68.56
01.05.2018;0.380597634;0.065171101;-0.049643795;0.339272568;-0.251020946;0.096875313;47;67.28
02.05.2018;0.295992099;0.039159052;-0.150814654;0.362080439;-0.230089288;0.063265529;56;67.91
03.05.2018;0.205422923;0.040130329;-0.314530663;0.314961555;-0.304563306;-0.011715833;42;68.45
04.05.2018;0.354299716;0.052426799;-0.253657257;0.367315009;-0.293881817;0.04530049;28;69.71
05.05.2018;0.99289929;0.100246805;0.048862607;0.357142857;-0.143678161;0.27109468;2;
06.05.2018;0.270573211;0.04365712;-0.305907951;0.482591795;-0.503495447;-0.002516254;13;
07.05.2018;0.315056858;0.051555168;-0.178490396;0.366313306;-0.278124184;0.05526215;71;70.74
08.05.2018;0.118963937;0.024545403;-0.346175286;0.168383915;-0.403903898;-0.087637186;98;68.83
09.05.2018;0.303504731;0.04190862;-0.210831177;0.291001225;-0.30824998;0.023466684;121;71.16
10.05.2018;0.330012453;0.041799673;-0.216888419;0.338884645;-0.352049633;0.028351744;73;71.36
11.05.2018;0.205204194;0.027708534;-0.202451925;0.276931844;-0.270369552;0.007404619;49;70.69
12.05.2018;0.707170717;0.080860673;-0.053407169;0.287894737;-0.326482874;0.139207217;5;
13.05.2018;0.301978198;0.083855224;-0.156283549;0.3922819;-0.303789798;0.063608395;25;
14.05.2018;0.308946684;0.057816205;-0.227028302;0.465252712;-0.283097111;0.064378038;76;71.01
15.05.2018;0.316488171;0.050473866;-0.160462575;0.398948537;-0.268667022;0.067356195;69;71.34
16.05.2018;0.082712557;0.01269563;-0.157414186;0.274891009;-0.288216991;-0.015066396;70;71.43
17.05.2018;0.32654828;0.046913618;-0.074890191;0.416486836;-0.269492166;0.089113275;64;71.47
18.05.2018;0.539396797;0.0925844;-0.075172083;0.381616216;-0.301087988;0.127467468;56;71.23
19.05.2018;0.238743874;0.052161545;-0.3669557;0.368067227;-0.577959184;-0.057188448;5;
20.05.2018;0.231041854;-0.021986627;-0.235264547;0.396103751;-0.292640217;0.015450843;16;
21.05.2018;0.141247458;0.022242537;-0.14912096;0.367488124;-0.282914376;0.019788557;57;72.26
22.05.2018;0.22327394;0.034159658;-0.202124441;0.358522416;-0.369910868;0.008784141;62;72.09
23.05.2018;0.01920192;0.00815423;-0.387964893;0.185852195;-0.519918547;-0.138935019;59;71.85
24.05.2018;0.135898097;0.025013036;-0.311765944;0.115968541;-0.424854302;-0.091948115;71;70.77
25.05.2018;0.165334955;0.050562749;-0.332831172;0.273563824;-0.340071294;-0.036688188;76;67.92
26.05.2018;0.399429943;0.054779033;-0.104418821;-0.016796537;-0.609142857;-0.055229848;10;
27.05.2018;0.308916606;0.020356425;-0.299591422;0.363036808;-0.471905619;-0.015837441;14;
28.05.2018;-0.030348196;-0.004279678;-0.319662256;0.110727694;-0.458920259;-0.140496539;31;
29.05.2018;0.045952595;0.028121206;-0.267018285;0.208878372;-0.381785654;-0.073170353;50;66.8
30.05.2018;0.415393152;0.118274456;-0.060882603;0.398494227;-0.274929045;0.119270038;62;68.24
31.05.2018;0.411982375;0.057996734;-0.177542022;0.335470171;-0.199202302;0.085740991;51;66.98
01.06.2018;0.150687291;0.100640626;-0.088191936;0.302275692;-0.239545283;0.045173278;36;65.81
02.06.2018;0.330316365;0.020316131;-0.503866107;0.400482107;-0.296406926;-0.009831686;6;
03.06.2018;0.402677768;0.103612657;0.029842315;0.57352131;-0.198045822;0.182321646;16;
04.06.2018;0.256568839;0.069987134;-0.194368341;0.444151766;-0.301692305;0.054929419;44;64.76
05.06.2018;0.289028903;0.06434552;-0.214683448;0.359281277;-0.28964861;0.041664729;45;65.51
06.06.2018;0.327199993;0.056307472;-0.094951034;0.458666942;-0.246456243;0.100153426;55;64.75
07.06.2018;0.316709449;0.071342059;-0.143748977;0.358843018;-0.310751341;0.058478841;54;65.96
08.06.2018;0.023717756;0.026364878;-0.197755731;0.149724035;-0.352936496;-0.070177112;39;65.77
09.06.2018;0.718691869;0.095092182;-0.106710884;0.798051948;0.158218029;0.332668629;5;
10.06.2018;-0.05086342;-0.029433129;-0.421100652;0.323669473;-0.435066642;-0.122558874;12;
11.06.2018;0.361271262;0.06554741;-0.074418803;0.44537245;-0.196837434;0.120186977;37;66.1
12.06.2018;0.230748565;0.035474853;-0.147035592;0.31359442;-0.275447145;0.03146702;51;66.38
13.06.2018;0.250183842;0.076514304;-0.232527076;0.394577447;-0.369791208;0.023791462;51;66.63
14.06.2018;0.455649269;0.093586743;-0.288723237;0.326398658;-0.426751347;0.032032017;54;66.91
15.06.2018;-0.129793414;-0.020024194;-0.282626652;0.145517364;-0.476520609;-0.152689501;46;65.01
16.06.2018;0.33396673;-0.007522525;-0.169022008;0.33844189;-0.340874811;0.030997855;3;
17.06.2018;-0.433143314;-0.036809741;-0.414289872;0.09738412;-0.564722435;-0.270316248;11;
18.06.2018;-0.195185233;-0.029501042;-0.387500829;0.161497816;-0.513345315;-0.192806921;70;65.91
19.06.2018;-0.142217555;-0.059638233;-0.405898816;0.201981274;-0.512020355;-0.183558737;60;65.09
20.06.2018;-0.092812671;0.005299644;-0.291007344;0.399676166;-0.376903624;-0.071149566;59;65.92
21.06.2018;0.11939116;0.040531132;-0.277360342;0.20754774;-0.390012273;-0.059980517;77;65.68
22.06.2018;0.090818056;-0.007392925;-0.257846264;0.309044664;-0.328312564;-0.038737807;78;69.02
23.06.2018;0.86649665;0.201465999;-0.114470733;0.506836344;0.110357143;0.31413708;10;
24.06.2018;0.286628663;0.025905457;-0.349906938;0.128339022;-0.345031949;-0.050813149;12;
25.06.2018;-0.178162644;-0.043103391;-0.291413807;0.050650974;-0.489981394;-0.190402052;58;69.91
26.06.2018;0.004435927;0.004297531;-0.273348746;0.249584881;-0.348930297;-0.072792141;62;75.23
27.06.2018;-0.116058158;-0.037132225;-0.277378169;0.132531509;-0.34282669;-0.128172746;58;77.41
28.06.2018;0.036774132;-0.000413698;-0.28511856;0.297500107;-0.43281576;-0.076814756;44;73.45
29.06.2018;0.104129978;0.031947541;-0.215105811;0.391985572;-0.355958979;-0.00860034;46;74.13
30.06.2018;0.650265027;0.133247406;-0.330983785;0.68571767;-0.247409415;0.178167381;7;
01.07.2018;0.030375038;0.009664355;-0.439313107;0.303870445;-0.471457249;-0.113372104;25;
02.07.2018;-0.013127313;-0.020046678;-0.3854895;0.163262392;-0.591137297;-0.169307679;50;73.89
03.07.2018;0.096311759;0.030395391;-0.169052148;0.277112603;-0.330522186;-0.019150916;47;74.19
04.07.2018;-0.354424331;-0.088227171;-0.344006581;0.22099312;-0.493830649;-0.211899122;27;
05.07.2018;-0.190594059;-0.051232056;-0.403664985;0.230524438;-0.525552011;-0.188103735;48;73.05
06.07.2018;0.0129434;-0.008210105;-0.261198607;0.237393941;-0.471400149;-0.098094304;38;73.78
07.07.2018;-0.302155216;-0.076283119;-0.458081511;0.445977011;-0.487127371;-0.175534041;4;
08.07.2018;0.098817574;0.001572181;-0.193783634;0.682067;-0.325157934;0.052703037;13;
09.07.2018;0.042632524;0.012920971;-0.124232632;0.354569468;-0.330540256;-0.008929985;46;73.93
10.07.2018;0.268453075;0.050115944;-0.082016702;0.456787162;-0.322405243;0.074186847;61;74.11
11.07.2018;-0.188707962;-0.073489393;-0.47300249;0.040898241;-0.513764887;-0.241613298;55;70.47
12.07.2018;-0.07452582;-0.023009408;-0.317803439;0.339857241;-0.531103653;-0.121317016;49;70.28
13.07.2018;0.168327089;0.02638066;-0.205364746;0.363999324;-0.357267659;-0.000785066;39;71.03
14.07.2018;0.405357202;0.011335402;-0.469516521;0.38738345;-0.424131668;-0.017914427;6;
15.07.2018;0.137533753;-0.035463256;-0.383842499;0.284984013;-0.502501991;-0.099857996;10;
16.07.2018;0.236723672;0.036442842;-0.192057145;0.296400807;-0.384506804;-0.001399326;60;68.22
17.07.2018;0.189301152;0.031591576;-0.253465917;0.193486001;-0.447406255;-0.057298689;45;68.03
18.07.2018;0.297614761;0.054426421;-0.169493034;0.230391975;-0.313695062;0.019849012;40;68.78
19.07.2018;0.00830083;0.006305199;-0.242468723;0.286132779;-0.341685456;-0.056683074;41;69.42
20.07.2018;0.249488363;0.037228946;-0.116335989;0.310800417;-0.363964033;0.023443541;41;70.31
21.07.2018;0.46909691;0.135645815;0.004323749;0.236363636;-0.401709402;0.088744142;2;
22.07.2018;0.174525786;0.012690574;-0.442791128;0.261329722;-0.411817301;-0.081212469;12;
23.07.2018;-0.087656307;-0.016495744;-0.184184476;0.36329823;-0.428243179;-0.070656295;61;67.9
24.07.2018;0.18435415;0.031324643;-0.098447506;0.419455371;-0.196670218;0.068003288;42;70.77
25.07.2018;0.234086742;0.048332161;-0.117015265;0.237934341;-0.281006732;0.024466249;30;71.13
26.07.2018;0.29283595;0.045608309;-0.062983265;0.404141952;-0.118151398;0.11229031;45;71.59
27.07.2018;0.3269153;0.031139475;-0.074871461;0.385020395;-0.304651923;0.072710357;46;68.66
28.07.2018;0.18739874;0.04405283;0.169385464;0.305157113;-0.116355369;0.117927756;5;
29.07.2018;0.111711171;0.034562609;-0.127668927;0.214463464;-0.248755411;-0.003137419;10;
30.07.2018;0.168555091;0.005015477;-0.25285136;0.384425746;-0.336863037;-0.006343617;34;71.19
31.07.2018;0.317485082;0.060832217;-0.16561276;0.337928897;-0.272686522;0.055589383;45;69.88
01.08.2018;0.305854115;0.038038454;-0.158064951;0.267527398;-0.336107076;0.023449588;51;68.8
02.08.2018;0.138969216;0.017556967;-0.204821747;0.232162218;-0.295328697;-0.022292409;47;68.95
03.08.2018;0.044433391;0.016004217;-0.170239297;0.306561;-0.269124113;-0.014472961;38;68.49
04.08.2018;-0.46469647;-0.061453549;-0.566965719;0.666666667;-0.625;-0.210289814;2;
05.08.2018;0.498124812;0.03924619;-0.178938118;0.291864583;-0.357753839;0.058508726;8;
06.08.2018;-0.303347001;-0.056298399;-0.367911156;0.18675591;-0.536037912;-0.215367712;42;69.01
07.08.2018;0.289952525;0.027820311;-0.13360124;0.399652282;-0.438724528;0.02901987;51;69.17
08.08.2018;0.108605943;0.015980218;-0.270134691;0.260713077;-0.447631343;-0.066493359;61;66.92
09.08.2018;0.288333089;0.026100299;-0.244373448;0.271298068;-0.389874348;-0.009703268;47;66.81
10.08.2018;0.006292937;-0.035413538;-0.383273467;0.088692357;-0.5564721;-0.176034762;39;67.61
11.08.2018;-0.25120012;-0.01376674;-0.50274841;0.276608187;-0.453463203;-0.188914057;4;
12.08.2018;-0.351878045;-0.065989304;-0.535582922;-0.202893123;-0.815752455;-0.39441917;14;
13.08.2018;0.02776582;0.010579908;-0.272741502;0.236151474;-0.490056568;-0.097660174;46;67.25
14.08.2018;-0.013454287;0.010813212;-0.242304819;0.320348947;-0.456786159;-0.076276621;34;67.04
15.08.2018;-0.338444483;-0.06630567;-0.446135978;-0.014394103;-0.542037416;-0.28146353;47;65.07
16.08.2018;0.360355083;0.050080876;-0.120144968;0.298289227;-0.252000114;0.067316021;42;65.44
17.08.2018;-0.129116912;-0.02624755;-0.372213592;0.175681631;-0.397802195;-0.149939724;25;65.93
