id,Date,vader,watson,count,brent
307,2018-11-03,0.15035333,-0.4308524,10,71.63333333333334
308,2018-11-04,0.033164941,-0.44724985700000003,21,72.15666666666667
309,2018-11-05,0.078403213,-0.40633496799999996,62,72.68
310,2018-11-06,-0.000456808,-0.274841269,52,70.64
311,2018-11-07,-0.0032923809999999996,-0.22106781,42,70.1
312,2018-11-08,0.029343821000000003,-0.3674075,44,69.29
313,2018-11-09,-0.023719201000000002,-0.42341593899999996,49,69.01
314,2018-11-10,-0.067161055,-0.43030150000000006,6,69.27666666666667
315,2018-11-11,-0.055128232,-0.41316619,21,69.54333333333334
316,2018-11-12,-0.032291939,-0.40972476,75,69.81
317,2018-11-13,0.010686638,-0.40890954700000004,64,65.45
318,2018-11-14,-0.023372896,-0.43390736799999996,57,64.88
319,2018-11-15,-0.020593688,-0.276329386,44,65.61
320,2018-11-16,-0.009762146,-0.373846286,35,65.29
321,2018-11-17,-0.160163826,-0.56232825,4,64.90666666666667
322,2018-11-18,-0.016234131000000002,-0.489524167,6,64.52333333333334
323,2018-11-19,-0.019042978999999998,-0.284775761,46,64.14
324,2018-11-20,-0.10149123300000001,-0.508747426,47,61.5
325,2018-11-21,-0.032769213,-0.357781174,46,61.65
326,2018-11-22,-0.025915672999999997,-0.405488436,39,61.11
327,2018-11-23,-0.031330765,-0.436458568,37,57.69
328,2018-11-24,-0.080592817,-0.5569365,4,58.36
329,2018-11-25,-0.074070687,-0.368423545,11,59.03
330,2018-11-26,0.008472997,-0.291922429,63,59.7
331,2018-11-27,-0.02544063,-0.42859490200000006,41,59.58
332,2018-11-28,0.029271112000000002,-0.271343577,52,57.97
333,2018-11-29,0.031165881,-0.36439217799999996,45,58.29
334,2018-11-30,0.036654561,-0.271259839,56,57.71
335,2018-12-01,-0.051650127000000004,-0.31854340000000003,10,58.53
336,2018-12-02,-0.000483559,-0.28355785699999997,21,59.35
337,2018-12-03,0.049875696,-0.17710747699999999,65,60.17
338,2018-12-04,-0.074207101,-0.5092770999999999,50,61.22
339,2018-12-05,-0.050517541,-0.475439815,65,61.4
340,2018-12-06,-0.094158375,-0.501407638,69,57.83
341,2018-12-07,-0.000156281,-0.369052175,57,61.71
342,2018-12-08,-0.061475464,-0.2100435,6,61.236666666666665
343,2018-12-09,-0.037962631000000004,-0.41903166700000005,18,60.763333333333335
344,2018-12-10,-0.043731202000000004,-0.41621952799999995,53,60.29
345,2018-12-11,-0.038753546,-0.422470898,49,59.73
346,2018-12-12,0.006120652,-0.304548408,49,59.94
347,2018-12-13,0.01026706,-0.266778895,38,59.03
348,2018-12-14,-0.051041811,-0.52134687,23,58.56
349,2018-12-15,0.08999493800000001,-0.147694167,6,58.23666666666667
350,2018-12-16,0.012485969,-0.359808643,14,57.913333333333334
351,2018-12-17,0.031212525,-0.358904111,36,57.59
352,2018-12-18,-0.043322047999999995,-0.554874341,44,55.26
353,2018-12-19,0.058157352,-0.305323627,51,55.6
354,2018-12-20,-0.0067872359999999994,-0.42041163600000003,44,52.84
355,2018-12-21,-0.028352957999999998,-0.390329762,42,51.93
356,2018-12-22,0.038421806,-0.553349667,3,51.85666666666667
357,2018-12-23,-0.129648597,-0.46902715799999994,19,51.78333333333333
358,2018-12-24,-0.021635836000000002,-0.354992333,27,51.71
359,2018-12-25,-0.045397249,-0.35568253299999997,15,51.63666666666667
360,2018-12-26,0.008392206,-0.2734647,30,51.56333333333333
361,2018-12-27,-0.008163313,-0.357178606,33,51.49
362,2018-12-28,-0.009059949,-0.34200640000000004,25,50.57
363,2018-12-29,0.011826487,-0.3874844,5,51.268
364,2018-12-30,0.038171797,-0.3585645,12,51.966
365,2018-12-31,-0.008776001,-0.344525769,27,52.664
366,2019-01-01,-0.001124257,-0.508885,8,53.362
367,2019-01-02,-0.049563822,-0.528710542,48,54.06
368,2019-01-03,-0.027314877,-0.328917833,36,53.23
369,2019-01-04,0.051524966,-0.183552839,31,55.64
370,2019-01-05,0.13655714300000002,-0.356881,1,56.126666666666665
371,2019-01-06,-0.030494822,-0.277330385,13,56.61333333333334
372,2019-01-07,-0.004227622,-0.119743826,46,57.1
373,2019-01-08,0.079955028,-0.089170814,43,56.91
374,2019-01-09,0.102131716,-0.100522195,41,59.46
375,2019-01-10,0.019296816,-0.323253297,37,60.47
376,2019-01-11,0.055650116,-0.297110038,26,59.24
377,2019-01-12,0.142041486,-0.12895275,12,59.093333333333334
378,2019-01-13,-0.008973607,-0.249259571,14,58.946666666666665
379,2019-01-14,-0.034845337000000004,-0.278687692,39,58.8
380,2019-01-15,0.023929814,-0.24216147699999999,44,58.65
381,2019-01-16,0.004285492,-0.17537820699999998,29,59.81
382,2019-01-17,0.002679788,-0.326147027,37,59.85
383,2019-01-18,0.07274071900000001,-0.152261806,36,62.04
384,2019-01-19,-0.214772414,-0.478936,1,62.086666666666666
385,2019-01-20,-0.034802415,-0.149981,11,62.13333333333333
386,2019-01-21,-0.021998317000000003,-0.35253379999999995,25,62.18
387,2019-01-22,-0.02466585,-0.363471825,40,60.9
388,2019-01-23,0.004478671,-0.321126818,44,61.05
389,2019-01-24,0.002880528,-0.275516041,49,61.09
390,2019-01-25,0.053578185,-0.313593148,27,61.49
391,2019-01-26,-0.004911937,-0.426169333,3,60.89666666666667
